time,Name,Feedback
2023/03/21 09:14:32,ルルザギーク,"種族値クイズ用のモードを作成し,リプライでなくともポケモン名の投稿で正誤判定できるようにする.ただし,モード変更したチャンネルのみを対象にしたほうがよいかもしれない"
2023/03/21 09:57:33,ルルザギーク,"/helpで説明書を表示しようと思うが,長すぎて邪魔なので対策をしたい(誰でも削除できるボタンや,あなたにだけ見えるメッセージ機能を用いる)"
2023/03/22 06:05:29,ルルザギーク,川柳をランダムで表示するセンリュウコマンドを作ってください
2023/03/22 06:05:57,ルルザギーク,今日のセンリュウを表示してください フラグを使ってあまりかぶらないようにしてください
2023/03/22 06:14:55,ルルザギーク,ポケモン英名クイズ実装しといて!英名も学ぶべきだと思います
2023/03/22 06:26:13,ルルザギーク,ポケモンセンリュウの視聴者投稿コマンドを作ってみたらいかがですか?
2023/03/22 06:35:32,ルルザギーク,ポケモンしりとりでもしとけ!
2023/03/22 06:43:55,ルルザギーク,はかせのことばがどこかで使えるかも https://pokemon-matome.net/articles/256664.html
2023/03/22 12:29:48,ルルザギーク,"calendarに新たな予定を追加できる機能 未来のことなら,カウントダウンできるかも?"
2023/03/22 21:59:08,ルルザギーク,サークルは工学院大学じゃない人も入る可能性があるのをわすれてた学籍番号取得に例外加え
2023/03/24 03:20:58,ルルザギーク,"毎日の投稿に,インタラクションボタンを設置して,IDくじをひけるようにする また,毎日の投稿を毎日ピンどめするというのもあり"
2023/03/24 03:28:02,ルルザギーク,ステータスメッセージ変更コマンド(管理者のみ)
2023/03/24 11:54:05,ルルザギーク,"学籍番号取得は,モーダルのテキストインプットを使用すると,DMを使用する必要もなく直接botに送信できそうです"
2023/03/24 12:07:14,ルルザギーク,通話お知らせ君の改善版を作ろう.ステージチャンネルはステージインスタンスがはじまってから通知するようにする.ボイスチャンネルは擬似的にタイトルを設定できるようにできたらいいな.ボイスチャンネルへのリンクを表示するのはやっておこう.<タイトル設定しませんか?と自動投稿で促すのもありかもしれない 延べ参加者数?参加メンバー?を表示するのもありかもね
2023/03/25 11:24:17,ルルザギーク,"ナンジャモンジャTV(ステージチャンネル)だけ,サークル外部の人も参加できるようにするコマンド あったらおもしろいかも 他のチャンネルは見られないようにする"
2023/03/26 05:15:10,ルルザギーク,毎日の投稿をピンどめする
2023/03/27 07:42:29,ルルザギーク,ユーザーID重複は自動更新にする 学籍番号登録の際
2023/04/03 18:14:11,ルルザギーク,botが落ちたら通知するbot←めんどくさいかも
2023/04/07 05:47:58,ルルザギーク,時報チャンネルの名称、位置の考案
2023/04/07 09:44:04,ルルザギーク,お金持ちランキング
2023/04/07 09:45:02,ルルザギーク,絵しりとり
2023/05/10 20:32:53,ルルザギーク,パラドックスポケモンの名前が正答後消えます
2023/05/13 00:02:31,ルルザギーク,5.botの説明にある、追放済みbotの記述を削除してください
2023/05/19 20:31:21,ルルザギーク,中国語ピンイン表示
2023/06/03 17:13:38,旬のしゃけお,ピクセルモン1.16.5-9.1.5へのアップデート
2023/08/09 00:22:12,4_seasons,ピクセルモン1.16.5-9.1.6へのアップデート
