ユーザーID,ユーザー名,bq正答,bq誤答,おこづかい,クジびきけん,acq正答,acq誤答,jtoeq正答,jtoeq誤答,etojq正答,etojq誤答,ctojq正答,ctojq誤答
563436616811675658,ルルザギーク,2909,427,226500,1,33,7,4,3,218,152,134,132
975076656844791888,culreamGG,1742,553,0,1,0,0,0,0,2,11,0,0
697452017911857212,ほしくま,174,48,155500,1,0,0,0,0,0,0,3,9
352333140431339520,HDD4649,26,74,156500,1,0,0,0,0,0,0,3,16
1069206989646860349,かかかかまぼこ,2,2,224000,1,0,0,0,0,4,15,27,43
600268054244622367,のゆ,5,25,0,1,0,0,0,0,0,0,0,0
462468341685026836,旬のしゃけお,3283,621,260000,1,2,0,0,0,227,178,174,257
535029275179614218,本好きの猫/猫宮 鈴,121,30,182000,1,0,0,0,0,19,56,0,0
683243272185053359,ヨウ,0,0,1500,1,0,0,0,0,0,0,0,0
370858334724816897,木葉,62,23,170500,1,0,0,0,0,0,0,6,17
823706183008649246,シタッパ,1,36,106000,1,0,0,0,0,0,0,0,0
852941704658944052,お月さま,0,0,34000,1,0,0,0,0,0,0,0,0
972472536715649084,ほーせんか,109,50,1500,1,0,0,0,0,0,0,0,0
1009436672670302218,小豆島,0,0,187500,1,0,0,0,0,0,0,1,4
874540305834197004,桜餅,2,2,73000,1,0,0,0,0,0,0,1,0
700936908104138762,ハル,0,0,1500,1,0,0,0,0,0,0,0,0
821647958016786442,わた,23,3,46000,1,0,0,0,0,0,0,0,0
773862144063569920,cylinder,0,0,157000,1,0,0,0,0,0,0,0,0
1094971024300310598,おばめ,0,0,1500,1,0,0,0,0,0,0,0,0
392235383561388032,bouchi,0,0,3000,1,0,0,0,0,0,0,0,0
631821009254744074,Shinya,0,0,3000,1,0,0,0,0,0,0,0,0
1008123803278262362,みかん,0,0,101500,1,0,0,0,0,0,0,0,0
573856669348397076,鈴猫,0,0,38000,1,0,0,0,0,0,0,0,0
734902099107905567,☆kana☆,0,0,8000,1,0,0,0,0,0,0,0,0
975317584855588874,つきのぐ,2,0,185500,1,0,0,0,0,0,0,10,22
738008559043739739,りょりょ,0,0,39500,1,0,0,0,0,0,0,0,0
683496951177805831,にぃまさ,0,0,50500,1,0,0,0,0,0,0,0,0
806446915884548106,たく,0,0,117000,1,0,0,0,0,0,0,0,0
1086927348336701470,一般人の心彗,0,0,9500,1,0,0,0,0,0,0,0,0
743835212500172811,まーゆ,0,0,3000,1,0,0,0,0,5,45,3,41
1008339875545751593,ター坊,0,0,1500,1,0,0,0,0,0,0,0,0
504581995288854528,RIKI,0,0,121500,1,0,0,0,0,0,0,0,0
593118329896566957,きゅー,0,0,14000,1,0,0,0,0,0,0,0,0
468773677857636354,たね,0,0,0,1,0,0,0,0,0,0,0,16
702776302633091113,PROCO,0,0,3000,1,0,0,0,0,0,0,0,0
708810214824083556,パエリア,0,0,1500,1,0,0,0,0,0,0,0,0
775662478520090644,あさひな,0,0,6000,1,0,0,0,0,0,0,0,0
837189112867455056,スカルボーン,0,0,9500,1,0,0,0,0,0,0,0,0
1050059068380807278,wawarudodo,0,0,1500,1,0,0,0,0,0,0,0,0
